iter	Logloss	Accuracy
0	0.6873671075	0.811023622
1	0.6820240885	0.8121484814
2	0.6762782808	0.8143982002
3	0.6714482616	0.811023622
4	0.6662935104	0.8132733408
5	0.6605739141	0.8132733408
6	0.6554673928	0.811023622
7	0.6506963083	0.8143982002
8	0.6458176899	0.8155230596
9	0.6414409826	0.8155230596
10	0.6368859691	0.8121484814
11	0.6322662906	0.8121484814
12	0.6280647834	0.811023622
13	0.6235529305	0.8121484814
14	0.618816966	0.8132733408
15	0.6144028184	0.8143982002
16	0.6104757962	0.8143982002
17	0.6068397475	0.8143982002
18	0.6029227632	0.8143982002
19	0.5992065941	0.8132733408
20	0.5958096239	0.8132733408
21	0.5923219266	0.8132733408
22	0.5884787422	0.8121484814
23	0.5852559571	0.8121484814
24	0.5819629533	0.8121484814
25	0.5787163907	0.8121484814
26	0.575718153	0.8121484814
27	0.5727463793	0.8121484814
28	0.5696411133	0.811023622
29	0.5664036224	0.811023622
30	0.5635608121	0.8121484814
31	0.5609376636	0.8121484814
32	0.558013264	0.8121484814
33	0.5553273768	0.811023622
34	0.5524883923	0.8121484814
35	0.5499819662	0.811023622
36	0.5474684826	0.811023622
37	0.5448588081	0.8121484814
38	0.5422420048	0.8121484814
39	0.5395187331	0.8132733408
40	0.5372217245	0.811023622
41	0.5351684768	0.811023622
42	0.5329749981	0.811023622
43	0.5308259955	0.8121484814
44	0.528937048	0.8132733408
45	0.5266603256	0.8121484814
46	0.5254408741	0.811023622
47	0.5229551769	0.8121484814
48	0.5210934633	0.811023622
49	0.5192009874	0.8132733408
50	0.5169859236	0.8155230596
51	0.515329709	0.8155230596
52	0.5133975085	0.8155230596
53	0.5114012726	0.8143982002
54	0.5097452776	0.8155230596
55	0.5082317925	0.8155230596
56	0.5066645772	0.8143982002
57	0.5057263917	0.816647919
58	0.5036502268	0.8143982002
59	0.5018999066	0.8143982002
60	0.5005042308	0.8143982002
61	0.4994012491	0.8143982002
62	0.4978959015	0.8143982002
63	0.4966712964	0.8143982002
64	0.4955183866	0.8155230596
65	0.4943039679	0.8155230596
66	0.4927365346	0.8155230596
67	0.4912300488	0.8155230596
68	0.4902731466	0.8143982002
69	0.4888792186	0.8143982002
70	0.4875460432	0.8155230596
71	0.4865328011	0.8155230596
72	0.4850441322	0.816647919
73	0.4840572209	0.816647919
74	0.4828308023	0.8155230596
75	0.4814973162	0.8155230596
76	0.4802217891	0.8143982002
77	0.4796350928	0.8155230596
78	0.4784426613	0.8155230596
79	0.4773270748	0.8143982002
80	0.4761124824	0.8155230596
81	0.4750320947	0.8143982002
82	0.4738782617	0.816647919
83	0.473369147	0.816647919
84	0.4722673213	0.8143982002
85	0.4714668042	0.8143982002
86	0.4703367827	0.8143982002
87	0.4697732013	0.8143982002
88	0.4686879968	0.8155230596
89	0.4681079769	0.8143982002
90	0.4672504003	0.8143982002
91	0.4665380063	0.8143982002
92	0.465566548	0.8143982002
93	0.4645499409	0.8143982002
94	0.4635628787	0.8143982002
95	0.462624579	0.8143982002
96	0.461804373	0.8143982002
97	0.4608360408	0.8143982002
98	0.4600703134	0.8143982002
99	0.4593959117	0.8155230596
100	0.4583993932	0.8155230596
101	0.4573363839	0.8155230596
102	0.4566576732	0.8155230596
103	0.4559314994	0.8155230596
104	0.4550702744	0.8155230596
105	0.4540648646	0.8155230596
106	0.4535704383	0.8155230596
107	0.4529794022	0.816647919
108	0.4522370779	0.816647919
109	0.451528559	0.816647919
110	0.4509418741	0.816647919
111	0.4506699829	0.816647919
112	0.4494867687	0.816647919
113	0.4488200971	0.816647919
114	0.4481292684	0.816647919
115	0.4475157769	0.816647919
116	0.4470107383	0.8188976378
117	0.4463524783	0.8188976378
118	0.4458641596	0.816647919
119	0.444837251	0.8188976378
120	0.4442315206	0.8211473566
121	0.443800669	0.8211473566
122	0.4433586373	0.822272216
123	0.442774326	0.822272216
124	0.4423578278	0.822272216
125	0.4417594353	0.822272216
126	0.4412919132	0.8211473566
127	0.4410373487	0.8211473566
128	0.4404963378	0.8211473566
129	0.439854185	0.8233970754
130	0.4396240795	0.8233970754
131	0.4391136709	0.8233970754
132	0.4385347512	0.822272216
133	0.438125362	0.8233970754
134	0.4374755578	0.822272216
135	0.4368759368	0.822272216
136	0.436091125	0.822272216
137	0.4357146829	0.8211473566
138	0.4348432157	0.822272216
139	0.4339909138	0.8211473566
140	0.4332350512	0.8211473566
141	0.4324833722	0.822272216
142	0.4317681715	0.822272216
143	0.4310086803	0.822272216
144	0.4305521239	0.822272216
145	0.4300919714	0.822272216
146	0.4294175452	0.822272216
147	0.4287133726	0.822272216
148	0.4285559596	0.822272216
149	0.4280009743	0.822272216
150	0.4274597746	0.822272216
151	0.4270585461	0.822272216
152	0.4264857609	0.822272216
153	0.4257510335	0.8233970754
154	0.4250099551	0.8245219348
155	0.4242249954	0.8233970754
156	0.4236905219	0.8245219348
157	0.4234835698	0.8267716535
158	0.4230183611	0.8256467942
159	0.4224725885	0.8256467942
160	0.4220186398	0.8267716535
161	0.4218810445	0.8256467942
162	0.4215623531	0.8245219348
163	0.4211453776	0.8256467942
164	0.420729901	0.8267716535
165	0.420081295	0.8278965129
166	0.4196248435	0.8278965129
167	0.4193588627	0.8278965129
168	0.4189697355	0.8278965129
169	0.4185550093	0.8278965129
170	0.4181440842	0.8278965129
171	0.4181255802	0.8278965129
172	0.4177366258	0.8278965129
173	0.417340201	0.8278965129
174	0.4169801463	0.8290213723
175	0.4166223327	0.8290213723
176	0.4164220006	0.8301462317
177	0.4161650658	0.8278965129
178	0.4158212953	0.8278965129
179	0.4152045873	0.8278965129
180	0.4148947539	0.8290213723
181	0.4144609874	0.8290213723
182	0.4143225941	0.8278965129
183	0.4139859698	0.8267716535
184	0.4134430314	0.8267716535
185	0.4131631123	0.8267716535
186	0.412846142	0.8278965129
187	0.4126852255	0.8267716535
188	0.4125487961	0.8267716535
189	0.4123184505	0.8267716535
190	0.4117595448	0.8267716535
191	0.41128023	0.8267716535
192	0.4111550882	0.8267716535
193	0.4108815128	0.8267716535
194	0.4105264572	0.8267716535
195	0.4101187848	0.8267716535
196	0.4098204398	0.8267716535
197	0.4093730307	0.8267716535
198	0.4091658979	0.8267716535
199	0.4090357397	0.8267716535
200	0.4087386786	0.8267716535
201	0.4083040982	0.8267716535
202	0.4079485403	0.8267716535
203	0.4074491327	0.8267716535
204	0.4071843023	0.8267716535
205	0.4067316867	0.8267716535
206	0.4064871849	0.8267716535
207	0.4064780145	0.8267716535
208	0.4062829941	0.8267716535
209	0.4060388592	0.8267716535
210	0.4057406877	0.8267716535
211	0.4054170157	0.8267716535
212	0.4050835438	0.8278965129
213	0.4047634707	0.8267716535
214	0.4046542314	0.8278965129
215	0.40447121	0.8278965129
216	0.4041473801	0.8267716535
217	0.4037958375	0.8267716535
218	0.4032855093	0.8290213723
219	0.4029624117	0.8278965129
220	0.4026027264	0.8278965129
221	0.4022378472	0.8267716535
222	0.4018812877	0.8267716535
223	0.4017700496	0.8267716535
224	0.4012766449	0.8267716535
225	0.401069947	0.8278965129
226	0.4008112378	0.8278965129
227	0.4004827667	0.8278965129
228	0.4002912883	0.8278965129
229	0.4000621259	0.8278965129
230	0.399705437	0.8278965129
231	0.3994274099	0.8278965129
232	0.3993844467	0.8278965129
233	0.3990085256	0.8278965129
234	0.3988700419	0.8278965129
235	0.3986608018	0.8290213723
236	0.3983586425	0.8278965129
237	0.397895513	0.8278965129
238	0.3974856887	0.8278965129
239	0.3971603724	0.8278965129
240	0.3969484234	0.8278965129
241	0.39671783	0.8278965129
242	0.39636722	0.8267716535
243	0.3961432774	0.8278965129
244	0.3959803433	0.8278965129
245	0.3955751359	0.8290213723
246	0.395241431	0.8290213723
247	0.3950796017	0.8290213723
248	0.3946483661	0.8290213723
249	0.3942744513	0.8278965129
250	0.3941269731	0.8278965129
251	0.3939714129	0.8278965129
252	0.393869922	0.8278965129
253	0.393512634	0.8290213723
254	0.3932985552	0.8290213723
255	0.3929570024	0.8301462317
256	0.3926484546	0.8301462317
257	0.3925619605	0.8301462317
258	0.3922247432	0.8312710911
259	0.3920075588	0.8312710911
260	0.3915970474	0.8312710911
261	0.3913308949	0.8323959505
262	0.3912605223	0.8312710911
263	0.3911076033	0.8323959505
264	0.390844743	0.8323959505
265	0.3906354638	0.8312710911
266	0.3905490695	0.8312710911
267	0.3903763076	0.8312710911
268	0.3899383758	0.8312710911
269	0.3896070106	0.8323959505
270	0.3893472818	0.8323959505
271	0.3889520481	0.8323959505
272	0.3887756731	0.8323959505
273	0.3886040768	0.8335208099
274	0.3885139508	0.8335208099
275	0.3883259517	0.8335208099
276	0.3882424229	0.8335208099
277	0.3879693899	0.8335208099
278	0.3875683218	0.8335208099
279	0.3872801027	0.8335208099
280	0.3870058747	0.8335208099
281	0.3866579809	0.8346456693
282	0.3866211685	0.8346456693
283	0.3865217303	0.8346456693
284	0.386241398	0.8346456693
285	0.3860984097	0.8335208099
286	0.3859442706	0.8346456693
287	0.3858284102	0.8346456693
288	0.3856627313	0.8346456693
289	0.3856254573	0.8346456693
290	0.3854394415	0.8346456693
291	0.3851546643	0.8346456693
292	0.3850034059	0.8346456693
293	0.3848768589	0.8346456693
294	0.3846931376	0.8346456693
295	0.3845711472	0.8346456693
296	0.384136852	0.8346456693
297	0.3840384631	0.8357705287
298	0.3839572269	0.8357705287
299	0.3838430477	0.8357705287
300	0.3837252912	0.8357705287
301	0.3835207491	0.8357705287
302	0.3833592027	0.8357705287
303	0.3830533763	0.8368953881
304	0.3829048631	0.8380202475
305	0.3826917623	0.8380202475
306	0.3825957198	0.8368953881
307	0.3825694014	0.8368953881
308	0.38235256	0.8380202475
309	0.3823405888	0.8380202475
310	0.3821021387	0.8391451069
311	0.3818366267	0.8380202475
312	0.3817815661	0.8380202475
313	0.3815368862	0.8391451069
314	0.3813686599	0.8402699663
315	0.3812676751	0.8402699663
316	0.3811777094	0.8402699663
317	0.3808755012	0.8402699663
318	0.3806280802	0.8402699663
319	0.3805301284	0.8402699663
320	0.3803038801	0.842519685
321	0.3801900246	0.842519685
322	0.3797661873	0.842519685
323	0.3796884543	0.842519685
324	0.3796622771	0.8413948256
325	0.3794166599	0.8413948256
326	0.3791933286	0.8413948256
327	0.3790338837	0.8413948256
328	0.3788391238	0.8413948256
329	0.3785126937	0.8413948256
330	0.3783877025	0.842519685
331	0.3783872993	0.842519685
332	0.3782374957	0.842519685
333	0.3779382244	0.842519685
334	0.3777518784	0.8436445444
335	0.3775949176	0.8458942632
336	0.377545397	0.8470191226
337	0.3773284607	0.8492688414
338	0.376959998	0.848143982
339	0.3768258871	0.848143982
340	0.3764642004	0.848143982
341	0.3764500335	0.848143982
342	0.3762778575	0.848143982
343	0.3762727326	0.848143982
344	0.3759842646	0.848143982
345	0.3758034808	0.848143982
346	0.3756009669	0.848143982
347	0.3755323714	0.848143982
348	0.3753875205	0.848143982
349	0.375016791	0.8492688414
350	0.3749167189	0.8492688414
351	0.3748072916	0.8492688414
352	0.3744954946	0.8503937008
353	0.3743587171	0.8503937008
354	0.374273142	0.8503937008
355	0.3738996858	0.8515185602
356	0.3737432945	0.8515185602
357	0.3736547316	0.8515185602
358	0.3734654954	0.8515185602
359	0.3734488721	0.8515185602
360	0.3734099367	0.8515185602
361	0.3733047846	0.8515185602
362	0.3730287635	0.853768279
363	0.3728795547	0.8526434196
364	0.3728020264	0.853768279
365	0.3726837305	0.853768279
366	0.3724627815	0.8526434196
367	0.3722983177	0.8526434196
368	0.3720209649	0.8526434196
369	0.3719033412	0.8526434196
370	0.3717690576	0.853768279
371	0.3717335563	0.853768279
372	0.3715544104	0.853768279
373	0.3710141871	0.853768279
374	0.3706388932	0.853768279
375	0.3704291682	0.853768279
376	0.3702331001	0.853768279
377	0.3702326625	0.853768279
378	0.3701002015	0.8548931384
379	0.3700043639	0.8548931384
380	0.3698878095	0.8548931384
381	0.3698258371	0.8548931384
382	0.369825041	0.8548931384
383	0.3696045464	0.8571428571
384	0.3695677346	0.8571428571
385	0.3695676566	0.8571428571
386	0.3695426357	0.8571428571
387	0.3693508921	0.8571428571
388	0.3692970388	0.8571428571
389	0.3690852511	0.8560179978
390	0.3688725105	0.8571428571
391	0.3686821936	0.8571428571
392	0.3685892565	0.8571428571
393	0.3684379354	0.8571428571
394	0.3682881204	0.8571428571
395	0.3680208323	0.8571428571
396	0.367757795	0.8571428571
397	0.367642672	0.8571428571
398	0.3676404088	0.8571428571
399	0.3674898847	0.8571428571
400	0.3672030236	0.8571428571
401	0.3671947701	0.8571428571
402	0.3670748541	0.8571428571
403	0.3668007684	0.8571428571
404	0.3667388412	0.8571428571
405	0.3667364245	0.8571428571
406	0.3667361682	0.8571428571
407	0.3665945279	0.8571428571
408	0.3664705172	0.8571428571
409	0.3662682874	0.8571428571
410	0.3662679155	0.8571428571
411	0.3660471501	0.8571428571
412	0.365799446	0.8571428571
413	0.3656162717	0.8582677165
414	0.3655233431	0.8571428571
415	0.3654812837	0.8571428571
416	0.3653477985	0.8582677165
417	0.3652372091	0.8582677165
418	0.3651224475	0.8582677165
419	0.3649366162	0.8582677165
420	0.3648429646	0.8582677165
421	0.3647577807	0.8593925759
422	0.3642386865	0.8582677165
423	0.3642386833	0.8582677165
424	0.3640868759	0.8593925759
425	0.3639345296	0.8593925759
426	0.3638151813	0.8593925759
427	0.3637065897	0.8593925759
428	0.3635688358	0.8605174353
429	0.3634247394	0.8605174353
430	0.3632089285	0.8605174353
431	0.3629804112	0.8616422947
432	0.3629427041	0.8616422947
433	0.3628574526	0.8616422947
434	0.3627609152	0.8616422947
435	0.3625455369	0.8627671541
436	0.3625141027	0.8627671541
437	0.362472121	0.8627671541
438	0.3622488201	0.8627671541
439	0.3621553154	0.8627671541
440	0.3620106781	0.8627671541
441	0.361924143	0.8638920135
442	0.3617982786	0.8616422947
443	0.3616551206	0.8605174353
444	0.3616392506	0.8605174353
445	0.3615868205	0.8605174353
446	0.3615239474	0.8605174353
447	0.3614097505	0.8605174353
448	0.3612101697	0.8605174353
449	0.3611234058	0.8605174353
450	0.3610047046	0.8605174353
451	0.3607867794	0.8616422947
452	0.3605547561	0.8616422947
453	0.3605508365	0.8616422947
454	0.3605508359	0.8616422947
455	0.3604005883	0.8627671541
456	0.3603967385	0.8627671541
457	0.3602356307	0.8616422947
458	0.3600670931	0.8627671541
459	0.3600264954	0.8627671541
460	0.3598325037	0.8650168729
461	0.3595068339	0.8650168729
462	0.3593213607	0.8638920135
463	0.3589318327	0.8650168729
464	0.358873072	0.8650168729
465	0.3587065741	0.8650168729
466	0.3586169758	0.8650168729
467	0.3584877728	0.8650168729
468	0.3582992435	0.8650168729
469	0.358227091	0.8650168729
470	0.3581003128	0.8650168729
471	0.3580436871	0.8650168729
472	0.3580401067	0.8650168729
473	0.3579480817	0.8650168729
474	0.3578374001	0.8650168729
475	0.3576460619	0.8650168729
476	0.3573905528	0.8650168729
477	0.3571926316	0.8661417323
478	0.3570587398	0.8661417323
479	0.3568915587	0.8661417323
480	0.3567557036	0.8661417323
481	0.3566501138	0.8661417323
482	0.356410019	0.8661417323
483	0.3562950647	0.8661417323
484	0.3562249767	0.8661417323
485	0.3560473021	0.8661417323
486	0.3560275397	0.8661417323
487	0.3560260941	0.8661417323
488	0.3559961559	0.8661417323
489	0.3558959306	0.8661417323
490	0.355818754	0.8661417323
491	0.3555641	0.8661417323
492	0.3555628086	0.8661417323
493	0.3554153021	0.8661417323
494	0.3552888303	0.8661417323
495	0.355202216	0.8683914511
496	0.3551899525	0.8683914511
497	0.3551777588	0.8683914511
498	0.3550822544	0.8683914511
499	0.3548701919	0.8683914511
500	0.3546092062	0.8695163105
501	0.354483056	0.8706411699
502	0.3544261852	0.8706411699
503	0.3543220233	0.8706411699
504	0.3542609546	0.8706411699
505	0.3542586112	0.8706411699
506	0.3541592972	0.8706411699
507	0.3541592967	0.8706411699
508	0.3540892873	0.8706411699
509	0.3539563276	0.8706411699
510	0.3537489968	0.8706411699
511	0.3535807586	0.8706411699
512	0.353563118	0.8706411699
513	0.3534411758	0.8706411699
514	0.3531224938	0.8706411699
515	0.3528104228	0.8706411699
516	0.3526969549	0.8706411699
517	0.3526581785	0.8706411699
518	0.3525930183	0.8706411699
519	0.3524597651	0.8706411699
520	0.3522734333	0.8706411699
521	0.3522088376	0.8706411699
522	0.3522084392	0.8706411699
523	0.3517382014	0.8717660292
524	0.3515295094	0.8717660292
525	0.3514173717	0.8717660292
526	0.3514083664	0.8717660292
527	0.3513436555	0.8717660292
528	0.3513422436	0.8717660292
529	0.3511796931	0.8717660292
530	0.3510963374	0.8717660292
531	0.3509540046	0.8717660292
532	0.3508274916	0.8717660292
533	0.3507320214	0.8717660292
534	0.3505770504	0.8717660292
535	0.3505699396	0.8717660292
536	0.3504832736	0.8717660292
537	0.3503690465	0.8717660292
538	0.3503400079	0.8717660292
539	0.350246883	0.8717660292
540	0.3501561272	0.8717660292
541	0.3499088022	0.8717660292
542	0.3496395731	0.8717660292
543	0.3496251301	0.8717660292
544	0.3495681891	0.8717660292
545	0.3494284919	0.8717660292
546	0.3493354322	0.8717660292
547	0.3492292335	0.8717660292
548	0.3489798644	0.8717660292
549	0.3488253509	0.8717660292
550	0.3488253163	0.8717660292
551	0.3484852095	0.8717660292
552	0.3484121174	0.8717660292
553	0.348407768	0.8717660292
554	0.3483004341	0.8717660292
