iter	Passed	Remaining
0	58	58565
1	65	32484
2	69	22953
3	74	18445
4	80	15967
5	87	14529
6	94	13348
7	97	12041
8	103	11381
9	106	10585
10	111	10034
11	116	9626
12	121	9246
13	126	8937
14	130	8581
15	134	8297
16	138	8027
17	143	7818
18	148	7647
19	152	7466
20	157	7345
21	161	7183
22	166	7054
23	168	6868
24	173	6778
25	177	6663
26	182	6582
27	185	6436
28	189	6354
29	193	6268
30	197	6180
31	201	6102
32	205	6030
33	209	5955
34	213	5888
35	218	5860
36	222	5803
37	227	5757
38	231	5706
39	235	5652
40	239	5609
41	244	5566
42	246	5484
43	250	5442
44	254	5392
45	258	5355
46	259	5262
47	263	5230
48	268	5205
49	272	5168
50	276	5143
51	279	5102
52	286	5111
53	294	5160
54	298	5120
55	299	5052
56	302	5009
57	304	4944
58	308	4921
59	312	4897
60	316	4877
61	320	4850
62	324	4827
63	329	4819
64	334	4815
65	339	4805
66	343	4784
67	347	4766
68	350	4725
69	354	4709
70	358	4693
71	361	4659
72	365	4641
73	367	4598
74	371	4583
75	375	4565
76	379	4555
77	381	4510
78	386	4503
79	390	4494
80	396	4496
81	401	4496
82	406	4489
83	408	4456
84	413	4446
85	415	4412
86	420	4417
87	423	4392
88	429	4399
89	437	4419
90	444	4440
91	446	4407
92	451	4406
93	455	4390
94	459	4380
95	465	4380
96	469	4368
97	473	4359
98	477	4348
99	483	4348
100	487	4340
101	492	4338
102	497	4335
103	503	4341
104	509	4343
105	514	4336
106	518	4326
107	523	4327
108	528	4318
109	532	4308
110	536	4297
111	538	4268
112	542	4258
113	547	4254
114	551	4247
115	556	4240
116	560	4229
117	566	4231
118	569	4217
119	574	4210
120	577	4197
121	582	4190
122	586	4179
123	591	4179
124	595	4166
125	600	4162
126	604	4153
127	606	4129
128	610	4119
129	613	4109
130	615	4085
131	619	4071
132	623	4066
133	627	4052
134	630	4041
135	633	4024
136	637	4016
137	641	4005
138	644	3989
139	647	3975
140	650	3962
141	653	3951
142	657	3938
143	661	3931
144	665	3925
145	669	3913
146	673	3905
147	676	3896
148	678	3874
149	681	3859
150	684	3849
151	687	3835
152	690	3822
153	693	3808
154	696	3796
155	699	3786
156	703	3775
157	704	3755
158	707	3742
159	710	3729
160	713	3719
161	715	3701
162	718	3690
163	721	3679
164	724	3667
165	727	3654
166	730	3644
167	733	3634
168	736	3622
169	740	3613
170	742	3600
171	743	3579
172	747	3573
173	750	3564
174	754	3558
175	757	3546
176	759	3532
177	763	3525
178	767	3518
179	771	3512
180	773	3500
181	776	3491
182	778	3476
183	782	3470
184	787	3468
185	791	3462
186	795	3456
187	798	3449
188	800	3436
189	804	3428
190	807	3421
191	811	3413
192	812	3398
193	815	3388
194	818	3380
195	821	3371
196	825	3364
197	828	3357
198	832	3349
199	835	3341
200	839	3337
201	842	3328
202	846	3321
203	849	3312
204	852	3305
205	855	3298
206	858	3289
207	859	3273
208	862	3265
209	865	3255
210	868	3246
211	871	3238
212	874	3231
